# WPT 趋势基线（绝对数口径，见 docs/goal/rendering-compat.md「测试资产化」）
# date,mode,wpt_data_ref,total,passed,rate_pct,extra,git_sha,note
2026-09-02,upstream,v1.10,16814,14128,84.0,failed=2686;skipped=0,f1c3fd9de,R3906 border-image zero-border guard (CSS B&B3 6.1; +1) + 9-slice source mapping (6.2; ImagePrimitive.source normalized sub-rect through CPU/GPU renderers; net +7, 1 false-pass unmask); corpus 14119->14128
2026-09-02,upstream,v1.10,16814,14136,84.1,failed=2678;skipped=0,fac1658c9,R3908 background-clip:border-area ring-band clipping (css-backgrounds-4 s2.1; 4 disjoint strips, per-tile band clip; +8/-1 net +7, flaky page excluded); corpus 14128->14135
2026-09-05,upstream,v1.10,16269,14204,87.3,failed=2065;skipped=0,1db22cc,
2026-09-07,upstream,v1.10,16815,14497,86.2,failed=2318;skipped=0,10f5455f6,R4098-F transform-box property 3-crate plumbing + svg reference-box percent translate/origin resolution (view-box->viewBox, fill-box->element bbox, stroke/border approx fill-box, origin wrap); 30-case cluster diff% broad improvement zero flips (view-box-viewbox 9.79->2.92), residual = inline svg vertical positioning deep domain; corpus 14496->14497 net +1 zero regressions
2026-09-07,upstream,v1.10,16814,14510,86.3,failed=2304;skipped=0,61a029e57,R4104-F svg subtree CSS transform exempt from html transform path (double-consumption fix; gate = in_svg_subtree at apply_transform call); +15/-3 net +13， svg transform style domain 13 cases flipped green (inline/document/external-styles + svgbox-initial/view-box); corpus 14497->14510
2026-09-07,upstream,v1.10,16814,14516,86.3,failed=2298;skipped=0,ddacffb43,R4105-F svg transform-origin offset by reference-box origin (fill/stroke/content/border box = bbox top-left; view-box = viewBox min; R4099 min-arm 'regression' invalidated - it was measured pre-R4104 double-consumption noise); +5 green zero regression (svgbox-stroke-box-001/002， svgbox-border-box， stroke-box-mutation-001/002); corpus 14510->14515
2026-09-07,upstream,v1.10,16814,14519,86.4,failed=2295;skipped=0,8798f6f36,R4106-F svg_element_bbox extends: path lineto-family d-attr bbox (M/m/L/l/H/h/V/v/Z exact endpoint union; curves -> None per caution) + g/a container child union; +4 green zero regression (svgbox-fill-box， svgbox-content-box， stroke-box-mutation-003/004); transform-box svgbox family cleared; corpus 14515->14519
2026-09-07,upstream,v1.10,16814,14525,86.4,failed=2289;skipped=0,40d7f00ba,R4107-F html content-box/fill-box reference box wired into transform-origin resolution (compute_transform_matrix_with_ref_box; union bbox stays border-box); +6 green zero regression (cssbox-* x4 + animation/transform-box x2 via WAAPI end-state); transform-box domain fully closed; corpus 14519->14526
2026-09-07,upstream,v1.10,16814,14534,86.4,failed=2280;skipped=0,75a3874e1,R4108-F mixed block+trailing inline replaced containers skip inline-only remeasure (IFC re-measure clobbered taffy anon-block stack y=35->0; gate = all-inline-children-replaced + last-in-flow + no pct-size attrs， 3-round narrowing实录); +9 green zero green-loss (view-box family x6->0.00， fill-box-002， replaced-element-007/016， svg-intrinsic-007， backdrop-svg-blur， fieldset-002， transform-root-bg x3); R3800 lineage closed; corpus 14526->14534
2026-09-07,upstream,v1.10,16814,14542,86.5,failed=2272;skipped=0,89d6ec4f7,R4109-F svg transform-origin initial used value 0 0 (CSS Transforms 1; declared-flag in style-system， Percentage(50) heuristic invalidated by explicit 50% 50% case) + R4108 gate element-children-only fix (anon h=0 boxes broke all-replaced check - mutation-001 now actually fixed); +8 green zero green-loss (fill-box-001 four-quadrant closure， stroke-box-003/004/005 vector-effect convergence); corpus 14534->14542
2026-09-07,upstream,v1.10,16814,14542,86.5,failed=2272;skipped=0,62fa9e9d0,R4110-F strip style transform/transform-box/transform-origin declarations when injecting transform attr (usvg 0.47 honors style transform-box and negates injected attr - probed); value-changed 8.33->0.00 green; corpus 14542 flat (+1/-1 box-shadow flake swap); residual mutation-002 pair = usvg image-href/text-font resource domain (R3989 lineage)
2026-09-08,upstream,v1.10,16814,14561,86.6,failed=2253;skipped=0,e8da466c1,R4122-F fixed containment CB（csswg #10544）三 pass 门控；corpus 14556->14561 净+5（同根因 contain-layout-007/contain-paint-010/containing-block-fixed-001 x2 连带）
2026-09-08,upstream,v1.10,16814,14563,86.6,failed=2251;skipped=0,26be41952,R4124-F @container 按最近 container-type 祖先求值（容器链+显式Px静态推导+链空false）；corpus 14561->14563 净+2（display-in-container 100->0.83 + change-display 连带；零回归）
2026-09-08,upstream,v1.10,16814,14563,86.6,failed=2251;skipped=0,f15f9e14f,R4125-F cq 容器查询单位解析（css-conditional-5 container lengths；6 单位 + CalcContext 容器轴 + gradient stop 就地解析）；corpus 14563 同值（域内 gradient x2 10.42->2.01、rule-cache 3.12->1.04、scrollbar-block 1.05->0.00 翻绿；box-shadow 抖动对摆回）
2026-09-08,upstream,v1.10,16814,14564,86.6,failed=2250;skipped=0,cc7200d82,R4126-F @container 逗号多条件 OR + = 等式比较符 + 键缓存容器污染修复；corpus 14563->14564 净+1（multiple-conditions-001 2.40->0.00 翻绿，零回归）
2026-09-08,upstream,v1.10,16814,14565,86.6,failed=2249;skipped=0,8e5b9675d,R4127-F 伪元素 @container 查询容器含 originating element 自身（自身入链+container_entry_for 重构）；corpus 14564->14565 净+1（box-shadow 抖动对摆正；pseudo-002b 探针 7300->6094px 改善未翻绿，残余 JS 动态改宽深域挂账）
2026-09-08,upstream,v1.10,16814,14580,86.7,failed=2234;skipped=0,308c9e8a7,R4128-F svg-as-img 根 background 简写提升 viewport 填充（decode 路径接入 promote+svg_source 保原始字节）；corpus 14565->14580 净+15（css-ui box-sizing-010..024 16 案翻绿；007/008/009 改善未翻绿）
